id,date,airport_code,airport_name,airport_province,location,region,latitude,longitude,incident_type,reportable_incident,incident_country,serious_incident,damage,total_injured,total_uninjured,aircraft_id,aircraft_type,aircraft_model,aircraft_make,organization,operator_type,operation_type,destination_airport_code,destination_airport_name,departure_airport_code,departure_airport_name
125237,2006-04-01 14:30:00,JB3,STEINBACH,MANITOBA,STEINBACH,CENTRAL,49.55,96.68333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,94269,AEROPLANE,M-20 F,MOONEY,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,JB3,STEINBACH,JB3,STEINBACH
125235,2006-04-02 11:30:00,JD4,HAMLIN,SASKATCHEWAN,NORTH BATTLEFORD,CENTRAL,52.88333333,108.28333333,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,1,0,39233,AEROPLANE,PA-28-140,PIPER,PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,EQ3,CAMROSE,EQ3,CAMROSE
125221,2006-03-28 17:45:00,YYB,North Bay,ONTARIO,North Bay,ONTARIO,46.11666667,79.51666667,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,0,2,52692,AEROPLANE,7GCBC,BELLANCA (AERONCA),PERSONAL CARRIER / NON-ORGANIZATION,PRIVATE,PLEASURE/TRAVEL,YYB,North Bay,YYB,North Bay
125197,2006-03-26 21:55:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,206,87185,AEROPLANE,767-200,BOEING,AIR CANADA,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YVR,Vancouver Intl
125195,2006-03-28 00:13:00,YMX,MONTRÉAL INTL (MIRABEL),QUEBEC,MONTRÉAL,QUEBEC,45.68333333,74.03333333,SMOKE OR FIRE (iii),INCIDENT REPORTABLE,CANADA,No,NONE,0,3,72403,AEROPLANE,727-200,BOEING,KELOWNA FLIGHTCRAFT,COMMERCIAL,AIR TRANSPORT,YMX,MONTRÉAL INTL (MIRABEL),YHM,HAMILTON
125185,2006-03-24 14:57:00,YQB,Jean Lesage Intl,QUEBEC,Quebec City,QUEBEC,46.78333333,71.4,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,No,SUBSTANTIAL,0,2,35605,AEROPLANE,CL-215-1A10 (CL-215),CANADAIR,Gouvernement du Quebec - Service Aerien Gouvernemental,STATE,FIRE FIGHTING / FIRE MANAGEMENT,YQB,Jean Lesage Intl,YQB,Jean Lesage Intl
125165,2006-03-21 14:00:00,FT9,ZAMA LAKE,ALBERTA,ZAMA LAKE,WESTERN,59.31666667,119.5,PILOT ERROR / WEATHER / MECHANICAL,ACCIDENT,CANADA,Yes,SUBSTANTIAL,1,0,56529,HELICOPTER,600N,MCDONNELL DOUGLAS HELICOPTER,RUPERT'S LAND OPERATIONS,COMMERCIAL,HELISLINGING,FT9,ZAMA LAKE,FT9,ZAMA LAKE
125157,2006-03-15 14:30:00,YUY,ROUYN-NORANDA,QUEBEC,ROUYN,QUEBEC,48.2,78.83333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,2,82688,AEROPLANE,550,CESSNA,TRANSPORT CANADA,STATE,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YUY,ROUYN-NORANDA
125137,2006-03-14 10:27:00,YUY,ROUYN-NORANDA,QUEBEC,ROUYN,QUEBEC,48.2,78.83333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,34,108709,AEROPLANE,DHC-8-300,DE HAVILLAND,HYDRO-QUEBEC,COMMERCIAL,AIR TRANSPORT,YHH,NEMISCAU,YUY,ROUYN-NORANDA
125101,2006-03-11 08:10:00,YHY,Hay River/Merlyn Carter,NORTHWEST TERRITORIES,Hay River,WESTERN,60.83333333,115.78333333,ENGINE (i),INCIDENT REPORTABLE,CANADA,No,NONE,0,10,53035,AEROPLANE,DC-3C,MCDONNELL DOUGLAS,BUFFALO AIRWAYS LTD.,COMMERCIAL,AIR TRANSPORT,EN9,YELLOWKNIFE,YHY,Hay River/Merlyn Carter
125074,2006-03-06 19:09:00,YUL,Pierre Elliott Trudeau Intl,QUEBEC,Montreal,QUEBEC,45.46666667,73.73333333,EMERGENCY/PRIORITY (xi),INCIDENT REPORTABLE,CANADA,No,NONE,0,7,101788,AEROPLANE,JETSTREAM 3100,BRITISH AEROSPACE,Starlink Aviation Inc,COMMERCIAL,AIR TRANSPORT,YUL,Pierre Elliott Trudeau Intl,YBG,BAGOTVILLE
